year,origin,dest,status,origin_enrolled,COUNT,origin_adj_count,dest_enrolled,origin_name,dest_name
2009,BVH,CPH,Approved,2368,7,295,1579,Bonita Vista Senior High,Castle Park Senior High
2009,BVH,CVH,Approved,2368,3,126,2662,Bonita Vista Senior High,Chula Vista Senior High
2009,BVH,ELH,Approved,2368,38,1604,2467,Bonita Vista Senior High,Eastlake High
2009,BVH,ELH,Denied,2368,8,337,2467,Bonita Vista Senior High,Eastlake High
2009,BVH,HTH,Approved,2368,10,422,2318,Bonita Vista Senior High,Hilltop Senior High
2009,BVH,MOH,Approved,2368,3,126,1716,Bonita Vista Senior High,Montgomery Senior High
2009,BVH,MVH,Approved,2368,1,42,1775,Bonita Vista Senior High,Mar Vista Senior High
2009,BVH,OLH,Approved,2368,24,1013,1565,Bonita Vista Senior High,Olympian High
2009,BVH,ORH,Approved,2368,49,2069,2705,Bonita Vista Senior High,Otay Ranch Senior High
2009,BVH,SOH,Approved,2368,4,168,1739,Bonita Vista Senior High,Southwest Senior High
2009,BVH,SUH,Approved,2368,10,422,2456,Bonita Vista Senior High,Sweetwater High
2009,BVM,ELM,Approved,1075,14,1302,1581,Bonita Vista Middle,Eastlake Middle
2009,BVM,ELM,Denied,1075,11,1023,1581,Bonita Vista Middle,Eastlake Middle
2009,BVM,GJH,Approved,1075,4,372,1079,Bonita Vista Middle,Granger Junior High
2009,BVM,HTM,Approved,1075,3,279,1189,Bonita Vista Middle,Hilltop Middle
2009,BVM,HTM,Denied,1075,1,93,1189,Bonita Vista Middle,Hilltop Middle
2009,BVM,MVM,Approved,1075,1,93,1081,Bonita Vista Middle,Mar Vista Academy for Problem Based Learning
2009,BVM,RDM,Approved,1075,41,3813,1672,Bonita Vista Middle,Rancho del Rey Middle
2009,BVM,RDM,Denied,1075,17,1581,1672,Bonita Vista Middle,Rancho del Rey Middle
2009,CPH,BVH,Approved,1579,9,569,2368,Castle Park Senior High,Bonita Vista Senior High
2009,CPH,BVH,Denied,1579,7,443,2368,Castle Park Senior High,Bonita Vista Senior High
2009,CPH,CVH,Approved,1579,17,1076,2662,Castle Park Senior High,Chula Vista Senior High
2009,CPH,CVH,Denied,1579,26,1646,2662,Castle Park Senior High,Chula Vista Senior High
2009,CPH,ELH,Approved,1579,15,949,2467,Castle Park Senior High,Eastlake High
2009,CPH,ELH,Denied,1579,3,189,2467,Castle Park Senior High,Eastlake High
2009,CPH,HTH,Approved,1579,56,3546,2318,Castle Park Senior High,Hilltop Senior High
2009,CPH,HTH,Denied,1579,11,696,2318,Castle Park Senior High,Hilltop Senior High
2009,CPH,HTH,Pending,1579,2,126,2318,Castle Park Senior High,Hilltop Senior High
2009,CPH,MOH,Approved,1579,62,3926,1716,Castle Park Senior High,Montgomery Senior High
2009,CPH,MOH,Denied,1579,4,253,1716,Castle Park Senior High,Montgomery Senior High
2009,CPH,MVH,Approved,1579,6,379,1775,Castle Park Senior High,Mar Vista Senior High
2009,CPH,OLH,Approved,1579,35,2216,1565,Castle Park Senior High,Olympian High
2009,CPH,OLH,Denied,1579,2,126,1565,Castle Park Senior High,Olympian High
2009,CPH,ORH,Approved,1579,71,4496,2705,Castle Park Senior High,Otay Ranch Senior High
2009,CPH,ORH,Denied,1579,2,126,2705,Castle Park Senior High,Otay Ranch Senior High
2009,CPH,SOH,Approved,1579,12,759,1739,Castle Park Senior High,Southwest Senior High
2009,CPH,SOH,Denied,1579,2,126,1739,Castle Park Senior High,Southwest Senior High
