dest_name,requests,approvals,denials,approval_ratio
Otay Ranch Senior High,2516,2516,103.0,0.958664546899841
Olympian High,2442,2442,72.0,0.9696969696969697
Montgomery Senior High,2039,2039,32.0,0.9823442864149092
Eastlake High,1539,1539,144.0,0.9031838856400259
Hilltop Middle,1525,1525,90.0,0.9363934426229508
San Ysidro High,1521,1521,31.0,0.9723865877712031
Bonita Vista Senior High,1277,1277,185.0,0.8480814408770556
Hilltop Senior High,1223,1223,84.0,0.9255928045789044
Rancho del Rey Middle,1206,1206,254.0,0.7860696517412935
Chula Vista Middle,1152,1152,65.0,0.9392361111111112
Bonita Vista Middle,1091,1091,100.0,0.9010082493125573
Southwest Senior High,1052,1052,35.0,0.964828897338403
Chula Vista Senior High,889,889,115.0,0.8672665916760405
Castle Park Senior High,888,888,12.0,0.9831081081081081
Sweetwater High,734,734,25.0,0.9645776566757494
Eastlake Middle,622,622,131.0,0.7893890675241158
Mar Vista Senior High,615,615,17.0,0.9723577235772358
Montgomery Middle,413,413,15.0,0.9612590799031477
National City Middle,378,378,18.0,0.9470899470899471
Castle Park Middle,375,375,3.0,0.9893333333333333
Granger Junior High,330,330,5.0,0.9848484848484849
Mar Vista Academy for Problem Based Learning,289,289,28.0,0.8823529411764706
Southwest Middle,280,280,11.0,0.9607142857142857
Options Secondary,3,3,0.0,0.6666666666666666
