year,dest,status,enrolled,COUNT,dest_adj_count,dest_enrolled,name
2009,BVH,Approved,2368,191,8065,2368,Bonita Vista Senior High
2009,BVH,Denied,2368,61,2576,2368,Bonita Vista Senior High
2009,BVH,Pending,2368,2,84,2368,Bonita Vista Senior High
2009,BVM,Approved,1075,145,13488,1075,Bonita Vista Middle
2009,BVM,Denied,1075,42,3906,1075,Bonita Vista Middle
2009,BVM,Pending,1075,6,558,1075,Bonita Vista Middle
2009,CPH,Approved,1579,212,13426,1579,Castle Park Senior High
2009,CPH,Denied,1579,4,253,1579,Castle Park Senior High
2009,CPH,Pending,1579,1,63,1579,Castle Park Senior High
2009,CPM,Approved,1096,73,6660,1096,Castle Park Middle
2009,CPM,Denied,1096,2,182,1096,Castle Park Middle
2009,CPM,Pending,1096,1,91,1096,Castle Park Middle
2009,CVH,Approved,2662,99,3719,2662,Chula Vista Senior High
2009,CVH,Denied,2662,40,1502,2662,Chula Vista Senior High
2009,CVH,Pending,2662,2,75,2662,Chula Vista Senior High
2009,CVM,Approved,1165,139,11931,1165,Chula Vista Middle
2009,CVM,Denied,1165,48,4120,1165,Chula Vista Middle
2009,CVM,Pending,1165,3,257,1165,Chula Vista Middle
2009,ELH,Approved,2467,201,8147,2467,Eastlake High
2009,ELH,Denied,2467,55,2229,2467,Eastlake High
2009,ELH,Pending,2467,1,40,2467,Eastlake High
2009,ELM,Approved,1581,57,3605,1581,Eastlake Middle
2009,ELM,Denied,1581,51,3225,1581,Eastlake Middle
2009,GJH,Approved,1079,55,5097,1079,Granger Junior High
2009,GJH,Denied,1079,4,370,1079,Granger Junior High
2009,HTH,Approved,2318,178,7679,2318,Hilltop Senior High
2009,HTH,Denied,2318,30,1294,2318,Hilltop Senior High
2009,HTH,Pending,2318,3,129,2318,Hilltop Senior High
2009,HTM,Approved,1189,188,15811,1189,Hilltop Middle
2009,HTM,Denied,1189,85,7148,1189,Hilltop Middle
2009,MOH,Approved,1716,345,20104,1716,Montgomery Senior High
2009,MOH,Denied,1716,14,815,1716,Montgomery Senior High
2009,MOH,Pending,1716,2,116,1716,Montgomery Senior High
2009,MOM,Approved,946,58,6131,946,Montgomery Middle
2009,MOM,Denied,946,14,1479,946,Montgomery Middle
2009,MVH,Approved,1775,87,4901,1775,Mar Vista Senior High
2009,MVH,Denied,1775,6,338,1775,Mar Vista Senior High
2009,MVM,Approved,1081,38,3515,1081,Mar Vista Academy for Problem Based Learning
2009,MVM,Denied,1081,25,2312,1081,Mar Vista Academy for Problem Based Learning
2009,NCM,Approved,793,74,9331,793,National City Middle
2009,NCM,Denied,793,17,2143,793,National City Middle
2009,NCM,Pending,793,1,126,793,National City Middle
2009,OLH,Approved,1565,320,20447,1565,Olympian High
2009,OLH,Denied,1565,7,447,1565,Olympian High
2009,ORH,Approved,2705,418,15452,2705,Otay Ranch Senior High
2009,ORH,Denied,2705,7,258,2705,Otay Ranch Senior High
2009,ORH,Pending,2705,1,36,2705,Otay Ranch Senior High
2009,RDM,Approved,1672,186,11124,1672,Rancho del Rey Middle
2009,RDM,Denied,1672,121,7236,1672,Rancho del Rey Middle
2009,RDM,Pending,1672,2,119,1672,Rancho del Rey Middle
2009,SAILS,Pending,297,1,336,297,Options Secondary
2009,SOH,Approved,1739,146,8395,1739,Southwest Senior High
2009,SOH,Denied,1739,16,920,1739,Southwest Senior High
2009,SOM,Approved,711,30,4219,711,Southwest Middle
2009,SOM,Denied,711,11,1547,711,Southwest Middle
2009,SUH,Approved,2456,94,3827,2456,Sweetwater High
2009,SUH,Denied,2456,16,651,2456,Sweetwater High
2009,SYH,Approved,2392,325,13586,2392,San Ysidro High
2009,SYH,Denied,2392,22,919,2392,San Ysidro High
2009,SYH,Pending,2392,3,125,2392,San Ysidro High
2010,BVH,Approved,2266,191,8428,2266,Bonita Vista Senior High
2010,BVH,Denied,2266,47,2074,2266,Bonita Vista Senior High
2010,BVH,Pending,2266,6,264,2266,Bonita Vista Senior High
2010,BVM, Approved,1134,1,88,1134,Bonita Vista Middle
2010,BVM,Approved,1134,129,11375,1134,Bonita Vista Middle
2010,BVM,Denied,1134,52,4585,1134,Bonita Vista Middle
2010,BVM,Pending,1134,1,88,1134,Bonita Vista Middle
2010,CPH,Approved,1579,168,10639,1579,Castle Park Senior High
2010,CPH,Denied,1579,6,379,1579,Castle Park Senior High
2010,CPH,Pending,1579,2,126,1579,Castle Park Senior High
2010,CPM,Approved,1052,91,8650,1052,Castle Park Middle
2010,CPM,Denied,1052,1,95,1052,Castle Park Middle
2010,CVH,Approved,2670,158,5917,2670,Chula Vista Senior High
2010,CVH,Denied,2670,69,2584,2670,Chula Vista Senior High
2010,CVH,Pending,2670,1,37,2670,Chula Vista Senior High
2010,CVM,Approved,1191,229,19227,1191,Chula Vista Middle
2010,CVM,Denied,1191,15,1259,1191,Chula Vista Middle
2010,CVM,Pending,1191,2,167,1191,Chula Vista Middle
2010,ELH,Approved,2519,322,12782,2519,Eastlake High
2010,ELH,Denied,2519,58,2302,2519,Eastlake High
2010,ELH,Pending,2519,4,158,2519,Eastlake High
2010,ELM,Approved,1602,50,3121,1602,Eastlake Middle
2010,ELM,Denied,1602,72,4494,1602,Eastlake Middle
2010,GJH,Approved,1033,72,6969,1033,Granger Junior High
2010,GJH,Denied,1033,1,96,1033,Granger Junior High
2010,HTH,Approved,2205,163,7392,2205,Hilltop Senior High
2010,HTH,Denied,2205,41,1859,2205,Hilltop Senior High
2010,HTH,Pending,2205,4,181,2205,Hilltop Senior High
2010,HTM,Approved,1129,244,21612,1129,Hilltop Middle
2010,HTM,Denied,1129,1,88,1129,Hilltop Middle
