year,origin,dest,status,COUNT,origin_enrolled,adj_count
2009,BVH,CPH,Approved,7,2368,295
2009,BVH,CVH,Approved,3,2368,126
2009,BVH,ELH,Approved,38,2368,1604
2009,BVH,ELH,Denied,8,2368,337
2009,BVH,HTH,Approved,10,2368,422
2009,BVH,MOH,Approved,3,2368,126
2009,BVH,MVH,Approved,1,2368,42
2009,BVH,OLH,Approved,24,2368,1013
2009,BVH,ORH,Approved,49,2368,2069
2009,BVH,SOH,Approved,4,2368,168
2009,BVH,SUH,Approved,10,2368,422
2009,BVM,ELM,Approved,14,1075,1302
2009,BVM,ELM,Denied,11,1075,1023
2009,BVM,GJH,Approved,4,1075,372
2009,BVM,HTM,Approved,3,1075,279
2009,BVM,HTM,Denied,1,1075,93
2009,BVM,MVM,Approved,1,1075,93
2009,BVM,RDM,Approved,41,1075,3813
2009,BVM,RDM,Denied,17,1075,1581
2009,CPH,BVH,Approved,9,1579,569
2009,CPH,BVH,Denied,7,1579,443
2009,CPH,CVH,Approved,17,1579,1076
2009,CPH,CVH,Denied,26,1579,1646
2009,CPH,ELH,Approved,15,1579,949
2009,CPH,ELH,Denied,3,1579,189
2009,CPH,HTH,Approved,56,1579,3546
2009,CPH,HTH,Denied,11,1579,696
2009,CPH,HTH,Pending,2,1579,126
2009,CPH,MOH,Approved,62,1579,3926
2009,CPH,MOH,Denied,4,1579,253
2009,CPH,MVH,Approved,6,1579,379
2009,CPH,OLH,Approved,35,1579,2216
2009,CPH,OLH,Denied,2,1579,126
2009,CPH,ORH,Approved,71,1579,4496
2009,CPH,ORH,Denied,2,1579,126
2009,CPH,SOH,Approved,12,1579,759
2009,CPH,SOH,Denied,2,1579,126
2009,CPH,SUH,Approved,7,1579,443
2009,CPH,SYH,Approved,41,1579,2596
2009,CPH,SYH,Denied,2,1579,126
2009,CPM,BVM,Approved,26,1096,2372
2009,CPM,BVM,Denied,16,1096,1459
2009,CPM,BVM,Pending,1,1096,91
2009,CPM,CVM,Approved,40,1096,3649
2009,CPM,CVM,Denied,29,1096,2645
2009,CPM,CVM,Pending,1,1096,91
2009,CPM,ELM,Approved,10,1096,912
2009,CPM,ELM,Denied,8,1096,729
2009,CPM,GJH,Approved,4,1096,364
2009,CPM,HTM,Approved,65,1096,5930
2009,CPM,HTM,Denied,48,1096,4379
2009,CPM,MOM,Approved,12,1096,1094
2009,CPM,MOM,Denied,4,1096,364
2009,CPM,MVM,Approved,5,1096,456
2009,CPM,NCM,Approved,4,1096,364
2009,CPM,RDM,Approved,40,1096,3649
2009,CPM,RDM,Denied,48,1096,4379
2009,CPM,RDM,Pending,1,1096,91
2009,CPM,SOM,Approved,4,1096,364
2009,CVH,BVH,Approved,13,2662,488
2009,CVH,BVH,Denied,8,2662,300
2009,CVH,CPH,Approved,52,2662,1953
2009,CVH,CPH,Denied,3,2662,112
2009,CVH,ELH,Approved,3,2662,112
2009,CVH,ELH,Denied,2,2662,75
2009,CVH,HTH,Approved,30,2662,1126
2009,CVH,HTH,Denied,10,2662,375
2009,CVH,MOH,Approved,14,2662,525
2009,CVH,MOH,Pending,1,2662,37
2009,CVH,MVH,Approved,3,2662,112
2009,CVH,OLH,Approved,9,2662,338
2009,CVH,ORH,Approved,16,2662,601
2009,CVH,ORH,Denied,1,2662,37
2009,CVH,SOH,Approved,8,2662,300
2009,CVH,SUH,Approved,24,2662,901
2009,CVH,SUH,Denied,4,2662,150
2009,CVH,SYH,Approved,15,2662,563
2009,CVH,SYH,Denied,2,2662,75
2009,CVM,BVM,Approved,17,1165,1459
2009,CVM,CPM,Approved,18,1165,1545
2009,CVM,CPM,Pending,1,1165,85
2009,CVM,ELM,Approved,1,1165,85
2009,CVM,ELM,Denied,4,1165,343
2009,CVM,GJH,Approved,3,1165,257
2009,CVM,HTM,Approved,39,1165,3347
2009,CVM,HTM,Denied,21,1165,1802
2009,CVM,MOM,Approved,5,1165,429
2009,CVM,MVM,Approved,2,1165,171
2009,CVM,NCM,Approved,8,1165,686
2009,CVM,NCM,Denied,1,1165,85
2009,CVM,RDM,Approved,11,1165,944
2009,CVM,RDM,Denied,4,1165,343
2009,CVM,SOM,Approved,3,1165,257
2009,ELH,BVH,Approved,39,2467,1580
2009,ELH,BVH,Denied,10,2467,405
2009,ELH,CPH,Approved,4,2467,162
2009,ELH,CPH,Pending,1,2467,40
2009,ELH,CVH,Approved,2,2467,81
2009,ELH,HTH,Approved,6,2467,243
2009,ELH,MOH,Approved,2,2467,81
2009,ELH,OLH,Approved,78,2467,3161
2009,ELH,ORH,Approved,35,2467,1418
2009,ELH,SUH,Approved,1,2467,40
2009,ELH,SYH,Approved,4,2467,162
2009,ELM,BVM,Approved,18,1581,1138
2009,ELM,BVM,Denied,1,1581,63
2009,ELM,CPM,Approved,2,1581,126
2009,ELM,CVM,Approved,3,1581,189
2009,ELM,GJH,Approved,3,1581,189
2009,ELM,HTM,Approved,7,1581,442
2009,ELM,MVM,Approved,1,1581,63
2009,ELM,RDM,Approved,36,1581,2277
2009,ELM,RDM,Denied,4,1581,253
2009,GJH,BVH,Denied,1,1079,92
2009,GJH,BVM,Approved,5,1079,463
2009,GJH,BVM,Denied,14,1079,1297
2009,GJH,CPH,Approved,2,1079,185
2009,GJH,CPM,Approved,1,1079,92
2009,GJH,CVH,Approved,2,1079,185
2009,GJH,CVH,Denied,1,1079,92
2009,GJH,CVM,Approved,7,1079,648
2009,GJH,CVM,Denied,1,1079,92
2009,GJH,ELH,Approved,1,1079,92
2009,GJH,ELH,Denied,1,1079,92
2009,GJH,ELM,Denied,4,1079,370
2009,GJH,HTH,Approved,3,1079,278
2009,GJH,HTM,Approved,16,1079,1482
