,year,origin,origin_zip,dest,dest_zip,status
0,2012,ORH,91913,BVH,91913,Approved
1,2012,ELH,91915,BVH,91913,Approved
2,2012,CPH,91911,BVH,91913,Approved
3,2012,CVH,91911,BVH,91913,Approved
4,2012,CVH,91911,BVH,91913,Approved
5,2012,CPH,91911,BVH,91913,Approved
6,2012,SYH,92154,BVH,91913,Approved
7,2012,HTH,91910,BVH,91913,Approved
8,2012,CVH,91911,BVH,91913,Approved
9,2012,ELH,91915,BVH,91913,Approved
10,2012,ORH,91913,BVH,91913,Approved
11,2012,ORH,91913,BVH,91913,Approved
12,2012,MOH,92154,BVH,91913,Approved
13,2012,CPH,91911,BVH,91913,Approved
14,2012,CVH,91911,BVH,91913,Approved
15,2012,CVH,91911,BVH,91913,Approved
16,2012,ELH,91915,BVH,91913,Approved
17,2012,HTH,91910,BVH,91913,Approved
18,2012,CVH,91911,BVH,91913,Approved
19,2012,CPH,91911,BVH,91913,Approved
20,2012,HTH,91910,BVH,91913,Approved
21,2012,CVH,91911,BVH,91913,Approved
22,2012,ORH,91913,BVH,91913,Approved
23,2012,HTH,91910,BVH,91913,Approved
24,2012,ORH,91913,BVH,91913,Approved
25,2012,ORH,91913,BVH,91913,Approved
26,2012,ORH,91913,BVH,91913,Approved
27,2012,CVH,91911,BVH,91913,Approved
28,2012,HTH,91910,BVH,91913,Approved
29,2012,CVH,91911,BVH,91913,Approved
30,2012,ORH,91913,BVH,91913,Approved
31,2012,CVH,91911,BVH,91913,Approved
32,2012,ORH,91913,BVH,91913,Approved
33,2012,CVH,91911,BVH,91913,Approved
34,2012,SUH,91950,BVH,91913,Approved
35,2012,ORH,91913,BVH,91913,Approved
36,2012,HTH,91910,BVH,91913,Approved
37,2012,SUH,91950,BVH,91913,Approved
38,2012,SUH,91950,BVH,91913,Approved
39,2012,HTH,91910,BVH,91913,Approved
40,2012,OLH,91913,BVH,91913,Approved
41,2012,ELH,91915,BVH,91913,Approved
42,2012,OLH,91913,BVH,91913,Approved
43,2012,CVH,91911,BVH,91913,Approved
44,2012,HTH,91910,BVH,91913,Approved
45,2012,ORH,91913,BVH,91913,Approved
46,2012,ORH,91913,BVH,91913,Approved
47,2012,OLH,91913,BVH,91913,Approved
48,2012,CPH,91911,BVH,91913,Approved
49,2012,CVH,91911,BVH,91913,Approved
50,2012,SYH,92154,BVH,91913,Approved
